,name,c1_dist,c2_dist,c3_dist,c4_dist,c5_dist,c6_dist,c7_dist,c8_dist
50,2000-3,9.018767666,9.425606725,3.52941367,8.661509403,28.08917073,33.99760728,176.3103464,191.1164949
51,2000-4,8.948958069,9.397123534,3.470347575,8.496539541,28.08673958,34.02353502,176.3093,191.113976
52,2001-1,8.881351818,9.370766262,3.40781893,8.329039887,28.08398194,34.04887367,176.3080929,191.1116974
53,2001-2,8.815915739,9.346421608,3.342014901,8.159244652,28.08087825,34.07362627,176.3067136,191.109645
54,2001-3,8.752616662,9.323976275,3.273122653,7.987388047,28.07740895,34.09779589,176.3051507,191.1078052
55,2002-1,8.691421414,9.303316964,3.20132935,7.813704283,28.07355447,34.12138557,176.3033928,191.1061638
56,2002-2,8.632296824,9.284330376,3.126822157,7.63842757,28.06929524,34.14439839,176.3014284,191.104707
57,2002-3,8.57520972,9.266903211,3.04978824,7.46179212,28.0646117,34.1668374,176.2992461,191.103421
58,2002-4,8.520126929,9.250922172,2.970414762,7.284032142,28.05948429,34.18870566,176.2968345,191.1022917
59,2003-1,8.467015281,9.236273959,2.888888889,7.105381847,28.05389344,34.21000622,176.2941822,191.1013053
60,2003-2,8.415841602,9.222845274,2.805397785,6.926075447,28.04781959,34.23074214,176.2912777,191.1004478
61,2003-3,8.366572722,9.210522817,2.720128616,6.746347151,28.04124317,34.25091648,176.2881097,191.0997054
62,2003-4,8.319175468,9.19919329,2.633268546,6.566431171,28.03414462,34.2705323,176.2846667,191.0990641
63,2004-1,8.273616668,9.188743394,2.545004739,6.386561717,28.02650438,34.28959266,176.2809373,191.0985101
64,2004-2,8.229863151,9.179059831,2.455524361,6.206973,28.01830287,34.3081006,176.27691,191.0980293
65,2004-3,8.187881744,9.170029301,2.365014577,6.02789923,28.00952054,34.32605921,176.2725735,191.097608
66,2004-4,8.147639276,9.161538505,2.273662551,5.849574619,28.00013782,34.34347152,176.2679163,191.0972321
67,2005-1,8.109102575,9.153474145,2.181655449,5.672233376,27.99013514,34.3603406,176.262927,191.0968878
68,2005-2,8.072238469,9.145722922,2.089180434,5.496109714,27.97949295,34.3766695,176.2575942,191.0965612
69,2005-3,8.037013786,9.138171537,1.996424672,5.321437841,27.96819167,34.39246129,176.2519064,191.0962383
70,2005-4,8.003395354,9.130706691,1.903575328,5.14845197,27.95621175,34.40771901,176.2458522,191.0959052
71,2006-1,7.971350001,9.123215085,1.810819566,4.97738631,27.94353361,34.42244574,176.2394203,191.0955481
72,2006-2,7.940844555,9.115583421,1.718344551,4.808475073,27.9301377,34.43664452,176.2325991,191.095153
73,2006-3,7.911845845,9.1076984,1.626337449,4.641952469,27.91600444,34.45031842,176.2253774,191.094706
74,2006-4,7.884320699,9.099446723,1.534985423,4.478052708,27.90111428,34.46347049,176.2177435,191.0941931
75,2007-1,7.858235944,9.090715091,1.444475639,4.317010003,27.88544765,34.4761038,176.2096862,191.0936006
76,2007-2,7.833558409,9.081390205,1.354995261,4.159058562,27.86898499,34.48822139,176.201194,191.0929144
77,2007-3,7.810254923,9.071358766,1.266731454,4.004432597,27.85170673,34.49982632,176.1922554,191.0921206
78,2007-4,7.788292312,9.060507476,1.179871384,3.853366319,27.8335933,34.51092166,176.1828591,191.0912054
79,2008-1,7.767637405,9.048723036,1.094602215,3.706093938,27.81462515,34.52151047,176.1729936,191.0901548
80,2008-2,7.74825703,9.035892147,1.011111111,3.562849665,27.7947827,34.53159579,176.1626476,191.0889549
81,2008-3,7.730118016,9.021901509,0.929585238,3.42386771,27.7740464,34.54118069,176.1518095,191.0875919
82,2008-4,7.71318719,9.006637825,0.8502117602,3.289382285,27.75239668,34.55026823,176.140468,191.0860517
83,2009-1,7.697431381,8.989987796,0.7731778426,3.1596276,27.72981397,34.55886146,176.1286116,191.0843205
84,2009-2,7.682817417,8.971838122,0.6986706499,3.034837866,27.70627871,34.56696344,176.116229,191.0823843
85,2009-3,7.669312125,8.952075505,0.6268773471,2.915247293,27.68177134,34.57457723,176.1033086,191.0802293
86,2009-4,7.656882334,8.930586646,0.5579850988,2.801090092,27.65627229,34.58170589,176.0898391,191.0778416
87,2010-1,7.645494872,8.907258246,0.49218107,2.692600474,27.62976199,34.58835247,176.0758091,191.0752071
88,2010-2,7.635116568,8.881977006,0.4296524253,2.590012649,27.60222089,34.59452004,176.0612071,191.0723121
89,2010-3,7.625714248,8.854629628,0.3705863298,2.493560829,27.57362941,34.60021164,176.0460217,191.0691426
90,2010-4,7.617254742,8.825102812,0.315169948,2.403479223,27.543968,34.60543035,176.0302415,191.0656847
91,2011-1,7.609704878,8.79328326,0.263590445,2.320002043,27.51321708,34.61017921,176.0138551,191.0619244
