image,c1,c1,c1,c2,c2,c2,c3,c3,c3,c4,c4,c4,c5,c5,c5,c6,c6,c6,c7,c7,c7,c8,c8,c8
name,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist,x,y,dist
2016_12_03.png,294.4,235.0,6.664082832618455,311.5,236.0,7.738862965578342,229.5,313.0,3.2,252.9,306.5,4.666904755831213,360.9,320.5,26.143067914841215,352.9,356.4,34.1528915320504,366.9,430.4,173.11013835128202,385.9,474.4,190.2660505712987
2017_04_26.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,230.4,312.0,2.3769728648009427,252.9,306.5,4.666904755831213,360.9,317.5,26.485090145211892,352.9,354.5,34.1,358.9,327.5,176.05854140029675,380.9,467.4,191.45383255500528
2017_02_05.png,291.5,236.0,7.0,314.8,237.0,8.0,229.5,313.0,3.2,254.5,305.9,4.25440947723653,360.9,321.5,26.104788832702706,353.9,358.4,33.32896638061253,359.9,327.5,175.08971985813443,385.9,475.4,190.75106814904078
2016_08_13.png,291.5,236.0,7.0,313.5,237.0,8.104936767180853,231.4,312.0,2.906888370749727,253.5,305.9,4.743416490252569,360.9,316.5,26.673207531153803,352.9,357.4,34.22309161954834,357.9,331.5,176.08750665507193,385.9,476.4,191.2400847102929
2017_12_22.png,294.4,235.0,6.664082832618455,312.5,236.0,7.368174807915459,229.5,313.0,3.2,252.5,305.9,5.375872022286245,360.9,321.5,26.104788832702706,353.9,356.4,33.15448687583628,401.9,432.4,141.60409598595658,401.9,432.4,158.65172548699243
2015_02_16.png,294.4,236.0,7.576938695805846,312.5,237.0,8.324061508662703,230.4,311.0,1.5,251.9,305.5,6.081118318204309,359.9,320.5,27.14148116813082,354.9,339.5,35.431765409022454,358.9,328.5,175.8141348128756,385.9,476.4,191.2400847102929
2017_12_31.png,161.5,1129.0,909.3404203047394,161.5,1129.0,912.9626991285022,161.5,1129.0,822.0174207399743,161.5,1129.0,824.6555220211649,161.5,1129.0,837.913629200528,161.5,1129.0,806.660089504867,161.5,1129.0,842.6078565975989,161.5,1129.0,842.6999762667613
2018_02_24.png,291.5,236.0,7.0,311.5,236.0,7.738862965578342,229.5,313.0,3.2,253.5,306.9,3.9623225512317903,360.9,319.5,26.21945842308723,353.9,361.4,33.811536492741645,399.9,416.4,137.32195745764767,400.9,420.4,156.26570321090932
2016_01_18.png,291.5,237.0,8.0,313.5,237.0,8.104936767180853,229.5,313.0,3.2,253.5,304.9,5.594640292279746,359.9,322.0,27.1,353.9,365.4,34.84852938073571,358.9,330.5,175.3414098266579,385.9,475.4,190.75106814904078
