ds,water_area_km2,Rainfall,Average_Temperature,Max_Temperature,Average_Humidity,Max_Humidity,Average_Wind_Speed,Max_Wind_Speed,mean_ndwi,month,day_of_year,month_sin,month_cos,day_sin,day_cos,lag1,lag3,lag7,lag14,rolling_avg_7,rolling_std_7,expanding_mean,month_year,monthly_mean,monthly_max,y
2017-11-17,9.052354465646063,0.0,26.808333333333337,29.3,79.5,96,8.420833333333334,12.7,-0.3918116638015575,11,321,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.726607524768565,8.692687651082831,8.455570637562946,9.36272864388667,11.199878714864337,8.691868953218826,0.27335415076655833,9.080762553079346,2017-11,9.052354465646063,9.052354465646063,2.2030248869301094
2017-12-07,7.881802372511921,1.1,25.754166666666663,28.4,86.70833333333333,95,8.229166666666666,13.0,-0.3504890256390005,12,341,-2.4492935982947064e-16,1.0,-0.4014879892059737,0.9158642882672868,9.052354465646063,8.338468216184129,8.848279182454187,12.841874287252514,8.553800837512787,0.39720671020562365,9.005827541793883,2017-12,9.155083070442066,10.202282166021606,2.064556606460524
2017-12-22,10.202282166021606,0.0,25.95416666666667,30.2,73.25,91,14.766666666666666,20.5,-0.4284547091611919,12,356,-2.4492935982947064e-16,1.0,-0.154308820664281,0.9880226656636976,7.881802372511921,8.692687651082831,8.492701262652467,6.990634452149394,8.798026680851235,0.7351726235277097,9.076207225571984,2017-12,9.155083070442066,10.202282166021606,2.322611438010766
2017-12-27,9.381164672792671,1.0,26.254166666666663,29.5,77.45833333333333,91,15.85,22.7,-0.2623612759658786,12,361,-2.4492935982947064e-16,1.0,-0.06880242680232064,0.9976303053065857,10.202282166021606,9.052354465646063,8.963021256949151,8.239966892970903,8.857761454543168,0.7671073070845725,9.093149305973133,2017-12,9.155083070442066,10.202282166021606,2.2387039219191247
2018-01-01,9.560334183726347,0.4,25.56666666666668,29.5,79.29166666666667,94,9.704166666666667,15.2,-0.4593454111530408,1,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,9.381164672792671,7.881802372511921,8.455570637562946,7.958564395296939,9.015584818280796,0.7840296774818468,9.117737983749619,2018-01,9.560334183726347,9.560334183726347,2.257622683955067
2018-02-05,9.91124223154512,1.1,27.09583333333333,33.6,69.91666666666667,84,14.791666666666666,18.4,-0.4290363951695443,2,36,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,9.560334183726347,10.202282166021606,8.338468216184129,8.753162195494646,9.240266820475224,0.7830023952031755,9.157413196139393,2018-02,9.694124014917946,10.460755267385684,2.2936696928113913
2018-02-10,10.460755267385684,0.1,26.57083333333333,31.3,76.41666666666667,95,10.708333333333334,16.7,-0.4013959212204053,2,41,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,9.91124223154512,9.381164672792671,8.692687651082831,10.021546041743017,9.492847908518486,0.8584603626447631,9.219477104293977,2018-02,9.694124014917946,10.460755267385684,2.3476306622810523
2018-02-15,9.1654438110105,0.7,27.96666666666667,33.3,69.95833333333333,91,15.866666666666667,21.3,-0.3253312260531203,2,46,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.702527474169157,10.460755267385684,9.560334183726347,9.052354465646063,9.36272864388667,9.509003529284836,0.8498094989141257,9.217021045508366,2018-02,9.694124014917946,10.460755267385684,2.2154403057613563
2018-02-20,9.239054749730483,0.0,26.304166666666664,33.2,59.5,81,15.304166666666664,20.1,-0.4651743650757377,2,51,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272,9.1654438110105,9.91124223154512,7.881802372511921,8.848279182454187,9.702896726030344,0.49916327379567366,9.217979032648458,2018-02,9.694124014917946,10.460755267385684,2.2234395816902537
2018-03-07,8.3703732419436,0.0,26.77083333333333,30.6,70.875,84,12.216666666666669,17.9,-0.2889740721640526,3,66,1.0,6.123233995736766e-17,0.9070138128026359,0.4211008707960896,9.239054749730483,10.460755267385684,10.202282166021606,8.492701262652467,9.44119545116206,0.65087171809967,9.182662124702423,2018-03,8.62752321178513,8.830790268517827,2.124698477526646
2018-03-22,8.681406124893963,0.5,28.14583333333333,30.8,79.625,90,10.595833333333331,16.5,-0.2733493447818897,3,81,1.0,6.123233995736766e-17,0.9844738167520922,0.1755314904214282,8.3703732419436,9.1654438110105,9.381164672792671,8.963021256949151,9.341229944319384,0.7124521467653347,9.162611884710083,2018-03,8.62752321178513,8.830790268517827,2.161183512659744
2018-03-27,8.830790268517827,1.3,27.26666666666667,30.8,82.66666666666667,94,7.229166666666667,15.4,-0.2798948899886296,3,86,1.0,6.123233995736766e-17,0.995918996147179,0.09025161003104117,8.681406124893963,9.239054749730483,9.560334183726347,8.455570637562946,9.237009385003883,0.7282441084097706,9.149849514856536,2018-03,8.62752321178513,8.830790268517827,2.1782445098769405
2018-04-01,8.420242457068827,3.5,27.73333333333333,30.9,81.41666666666667,92,10.754166666666668,15.9,-0.252392994417098,4,91,0.8660254037844387,-0.49999999999999983,0.9999907397361901,0.004303538296244289,8.830790268517827,8.3703732419436,9.91124223154512,8.338468216184129,9.024009417221555,0.7161205983035388,9.122827031234769,2018-04,7.9123368090020865,8.420242457068827,2.130638624403616
2018-04-11,7.404431160935345,8.8,27.104166666666668,31.9,85.5,98,5.379166666666666,13.8,-0.3498529198707119,4,101,0.8660254037844387,-0.49999999999999983,0.9859481499638304,-0.16705162550211924,8.420242457068827,8.681406124893963,10.460755267385684,8.692687651082831,8.58739168772865,0.6193171059328383,9.061455750152646,2018-04,7.9123368090020865,8.420242457068827,2.0020786278799765
