,name,c1_dist,c2_dist,c3_dist,c4_dist,c5_dist,c6_dist,c7_dist,c8_dist
0,1988-1,80.62257748,2.236067977,1118.456079,1087.443332,2572.616567,2748.070232,2197.682643,2400.496824
1,1988-2,89.20124239124999,8.732515277374999,1112.007378063024,1089.7622937499998,2571.456645923964,2747.0822490433447,2190.347994854264,2392.594177280639
2,1988-3,90.42676595,10.77032961,1091.650127,1090.093574,2567.532084,2743.753998,2166.673026,2367.186516
3,1988-4,75.0,8.062257748,892.4533601,968.8100949,2475.42259,2671.696465,1879.447259,2071.386251
4,1989-1,75.485232697269,8.15629665193123,852.133189123014,926.9921239127973,2424.462204935659,2622.730393453066,1848.2508697353883,2040.6975580079775
5,1989-2,76.83601561128812,8.423694606304055,816.5336868275158,889.1412421111845,2376.252522192825,2574.896029362734,1821.1008393749964,2014.008294047019
6,1989-3,78.89497597537552,8.842373474987182,785.3946928300957,855.1492734789293,2331.024306588836,2528.6781021258407,1797.7273336213095,1991.0497235733255
7,1989-4,81.50474102284933,9.390255121849316,758.4560467473435,824.9080419997999,2289.008322941032,2484.5613411392214,1777.860518176813,1971.5531110430968
8,1990-1,84.50793798702777,10.045261410759158,735.4575881958496,798.3093716575642,2250.435336066751,2443.030475799713,1761.2305587439923,1955.2497209125333
9,1990-2,87.74719410122894,10.785314205585415,716.1391567922038,775.2450864359898,2215.536110783332,2404.570235504152,1747.567621025333,1941.8708176378354
10,1990-3,91.06513659877105,11.58833537019679,700.2405921529963,755.6070103188451,2184.541411908114,2369.665349649375,1736.60187072332,1931.147665675203
11,1990-4,94.30439271297224,12.43224676846199,687.5017338948173,739.2869672898977,2157.6820042584354,2338.800547632217,1728.063473540439,1922.8115294808363
12,1991-1,97.30758967715067,13.294970264249717,677.6624216342566,726.1767813329158,2135.188652651635,2312.460558849516,1721.6825951791752,1916.5936735109358
13,1991-2,99.91735472462449,14.154427721428679,670.4624949879045,716.168276431667,2117.292121905053,2291.130112698107,1717.1894013420142,1912.2253622217017
14,1991-3,101.9763150887119,14.988541003867574,665.6417935723509,709.1532765699194,2104.223176836027,2275.2939385748273,1714.3140577314412,1909.4378600693342
15,1991-4,103.32709800273099,15.775231975435117,662.940157004186,705.0236057314413,2096.2125822618964,2265.436765876513,1712.7867300499413,1907.9624315100334
16,1992-1,103.8123307,16.4924225,662.0974249,703.6710879,2093.491103,2262.043324,1712.337584,1907.530341
17,1992-2,103.64656922485334,17.21530978060391,667.3291188840889,708.1737784600888,2099.3641435881477,2268.0134765525927,1718.0320289487408,1913.333652992
18,1992-3,103.18012414362667,18.02072902316751,682.050862420711,720.844140268711,2115.8906066385184,2284.8132081540743,1734.0559321765927,1929.663903016
19,1992-4,102.45925447264,18.889059095878004,704.8026478864,740.4256085183999,2141.43150408,2310.77642972,1758.820146256,1954.9015621439999
20,1993-1,101.53021922821334,19.80067886692258,734.1244676576889,765.6616184016889,2174.3478478414813,2344.237052165926,1790.7355237594074,1987.4271014479998
21,1993-2,100.43927742666666,20.735967204488432,768.5563141111111,795.2956051111111,2213.000649851852,2383.5289864074075,1828.2129172592593,2025.6209920000001
22,1993-3,99.23268808432,21.675302976762755,806.6381796231999,828.0710038392,2255.75092204,2426.98614336,1869.6631793279998,2067.863704872
23,1993-4,97.95671021749332,22.599065051932744,846.9100565704888,862.731249778489,2300.9596763348145,2472.9424339392594,1913.497162538074,2112.535711136
24,1994-1,96.65760284250666,23.487632298185595,887.911937329511,898.0197781215112,2346.9879246651853,2519.7317690607406,1958.1257194619259,2158.017481864
25,1994-2,95.38162497568,24.321383583708503,928.1838142767999,932.6800240608001,2392.19667896,2565.6880596399997,2001.9597026719998,2202.689488128
26,1994-3,94.17503563333332,25.080697776688663,966.265679788889,965.455422788889,2434.946951148148,2609.145216592592,2043.4099647407404,2244.932201
27,1994-4,93.08409383178666,25.745953745313262,1000.6975262423109,995.0894094983113,2473.599753158518,2648.437150834074,2080.887358240592,2283.1260915519997
28,1995-1,92.15505858735999,26.2975303577695,1030.0193460136,1020.3254193816001,2506.51609692,2681.89777328,2112.8027357439996,2315.651630856
29,1995-2,91.43418891637332,26.71580648224457,1052.771131479289,1039.906887631289,2532.0569943614814,2707.8609948459257,2137.5669498234074,2340.889289984
30,1995-3,90.96774383514665,26.981160986925676,1067.4928750159108,1052.5772494399112,2548.5834574118517,2724.660726447407,2153.590853051259,2357.219540008
31,1995-4,90.80198236,27.07397274,1072.724569,1057.07994,2554.456498,2730.630879,2159.285298,2363.022852
32,1996-1,109.0,19.23538406,910.2021753,853.4928236,2322.978261,2501.238293,1994.878693,2203.303202
33,1996-2,116.7090399,29.06888371,1031.95591,1022.356591,2472.003236,2552.082483,2118.14872,2323.255044
34,1996-3,111.64201692888889,24.488516812962963,1062.0308396059786,1045.0772091398317,2516.3065822022286,2621.5016880626113,2150.416833336321,2355.818300868467
35,1996-4,102.23183141111112,15.982121147037038,1080.0705568596525,1057.3802298019586,2543.8683513676624,2694.6574749702554,2170.122104001493,2375.8462827675667
36,1997-1,97.16480844,11.40175425,1087.176619,1062.817482,2555.455537,2731.632845,2176.794892,2382.67077
37,1997-2,101.86701737000001,16.141183634999997,1088.8056660825027,1065.5258447426343,2558.6179255917555,2736.1387963374546,2127.445552297023,2316.619560466313
38,1997-3,106.5692263,20.88061302,1089.431503,1066.640052,2559.852535,2737.855,2074.951807,2247.505506
39,1997-4,106.56798545922841,20.87790731215611,1089.4296089105628,1066.639630522554,2559.852373540151,2737.854864868027,2068.856593816964,2241.5683326172275
40,1998-1,106.56400238684239,20.869905940831682,1089.422567189729,1066.6379838716182,2559.851735287053,2737.854330017624,2063.1401186270823,2236.000011227162
41,1998-2,106.5568862577351,20.856782534337544,1089.408338658716,1066.6345387192964,2559.8503894303826,2737.8532012670616,2057.7896944049185,2230.7882703714267
42,1998-3,106.54624624679968,20.838710720984533,1089.3848841387407,1066.6287217376923,2559.8481051598133,2737.8512844346137,2052.792634125036,2225.9208385916436
43,1998-4,106.53169152892926,20.81586412908349,1089.3501644510202,1066.6199595989087,2559.8446516650206,2737.8483853385515,2048.1362507619992,2221.385444429433
44,1999-1,106.51283127901699,20.78841638694525,1089.3021404167716,1066.6076789750502,2559.83979813568,2737.844309797148,2043.8078572903712,2217.16981642642
45,1999-2,106.489274671956,20.756541122880655,1089.238772857212,1066.5913065382197,2559.833313761466,2737.8388636286745,2039.794766684716,2213.261683124225
46,1999-3,106.46063088263945,20.72041196520054,1089.1580225935586,1066.5702689605207,2559.8249677320537,2737.831852651404,2036.0842919195975,2209.6487730644694
47,1999-4,106.42650908596049,20.680202542215742,1089.0578504470282,1066.5439929140568,2559.814529237118,2737.823082683609,2032.6637459695794,2206.318814788777
48,2000-1,106.38651845681223,20.636086482237097,1088.9362172388383,1066.5119050709322,2559.8017674663342,2737.812359543561,2029.520441809225,2203.25953683877
49,2000-2,106.34026817008784,20.588237413575445,1088.7910837902054,1066.4734321032497,2559.7864516093773,2737.799489049533,2026.641692413099,2200.458667756069
50,2000-3,106.28736740068044,20.536828964541623,1088.620410922347,1066.4280006831132,2559.768350855922,2737.784277019796,2024.0148107557645,2197.903936082297
51,2000-4,106.22742532348319,20.48203476344647,1088.4221594564804,1066.3750374826259,2559.7472343956438,2737.7665292726233,2021.6271098117854,2195.583070359077
52,2001-1,106.16005111338923,20.424028438600825,1088.1942902138221,1066.313969173892,2559.722871418217,2737.746051626287,2019.4659025557253,2193.483799128029
53,2001-2,106.0848539452917,20.362983618315518,1087.9347640155897,1066.2442224290146,2559.6950311133173,2737.7226498990594,2017.518501962148,2191.593850930777
54,2001-3,106.00144299408373,20.29907393090139,1087.6415416830002,1066.1652239200973,2559.66348267062,2737.6961299092127,2015.7722210056177,2189.9009543089423
55,2001-4,105.90942743465848,20.23247300466928,1087.3125840372702,1066.0764003192437,2559.6279952797986,2737.6662974750193,2014.2143726606976,2188.392837804148
56,2002-1,105.80841644190909,20.16335446793003,1086.9458518996175,1065.9771782985574,2559.58833813053,2737.6329584147506,2012.8322699019518,2187.0572299580144
57,2002-2,105.69801919072871,20.091891948994466,1086.539306091259,1065.866984530142,2559.5442804124873,2737.59591854668,2011.6132257039437,2185.8818593121655
58,2002-3,105.57784485601046,20.01825907617344,1086.0909074334113,1065.745245686101,2559.4955913153476,2737.554983689079,2010.5445530412376,2184.8544544082224
59,2002-4,105.44750261264748,19.942629477777775,1085.598616747292,1065.611388438538,2559.442040028784,2737.5099596602204,2009.613564888397,2183.9627437878075
60,2003-1,105.30660163553294,19.865176782118322,1085.0603948541182,1065.4648394595563,2559.3833957424727,2737.460652278376,2008.807574219985,2183.194455992543
61,2003-2,105.15475109955996,19.786074617505907,1084.4742025751063,1065.3050254212596,2559.319427646088,2737.406867361818,2008.1138940105666,2182.5373195640514
62,2003-3,104.9915601796217,19.705496612251377,1083.8380007314743,1065.131372995752,2559.2499049293056,2737.3484107288195,2007.519837234705,2181.9790630439534
63,2003-4,104.81663805061129,19.62361639466556,1083.149750144439,1064.943308855136,2559.1745967818006,2737.285088197652,2007.0127168669635,2181.507414973873
64,2004-1,104.62959388742186,19.540607593059303,1082.407411635217,1064.740259671516,2559.093272393247,2737.216705586587,2006.5798458819063,2181.1101038954316
65,2004-2,104.43003686494657,19.456643835743442,1081.6089460250257,1064.5216521169953,2559.0057009533207,2737.143068713898,2006.208537254097,2180.774858350251
66,2004-3,104.21757615807857,19.371898751028805,1080.7523141350828,1064.2869128636776,2558.9116516516965,2737.0639833978576,2005.8861039580997,2180.4894068799535
67,2004-4,103.991820941711,19.286545967226242,1079.8354767866044,1064.0354685836662,2558.810893678049,2736.979255456737,2005.5998589684777,2180.2414780261615
