 
date,water_area_km2,Rainfall,Average_Temperature,Max_Temperature,Average_Humidity,Max_Humidity,Average_Wind_Speed,Max_Wind_Speed,mean_ndwi
2016-03-27,11.199878714864337,0.7,29.5875,33.0,71.16666666666667,84,6.7250000000000005,12.6,-0.2795716781774855
2016-06-05,12.841874287252514,3.7,27.366666666666664,28.5,88.16666666666667,93,17.175,20.6,-0.245997989421915
2016-08-24,6.990634452149394,0.3,26.837499999999995,28.6,83.33333333333333,89,16.891666666666666,20.3,-0.1421783811890573
2016-10-03,8.239966892970903,0.9,26.870833333333334,28.6,82.79166666666667,90,14.195833333333333,18.9,-0.3320789930503718
2016-11-12,7.958564395296939,5.9,26.808333333333334,30.3,83.25,91,5.708333333333333,7.8,-0.1778860855874328
2016-12-22,8.753162195494646,0.0,26.875,30.4,76.20833333333333,90,11.683333333333332,14.0,-0.3333232830323062
2017-01-31,10.021546041743017,0.0,25.83333333333333,30.3,80.04166666666667,96,12.745833333333332,16.8,-0.4622900490760937
2017-02-10,9.36272864388667,0.0,24.78333333333333,29.6,71.04166666666667,83,12.924999999999995,19.2,-0.4622646412566144
2017-03-22,8.848279182454187,0.0,27.625,33.5,76.91666666666667,95,10.966666666666669,16.8,-0.4611596597077135
2017-05-01,8.492701262652467,0.9,28.28333333333333,30.9,79.04166666666667,90,11.216666666666669,16.5,-0.2483325533845214
2017-07-20,8.963021256949151,3.2,27.6375,29.3,81.20833333333333,89,19.745833333333334,22.7,-0.315876760322796
2017-10-03,8.455570637562946,5.6,27.141666666666666,29.1,84.08333333333333,91,14.975,20.3,-0.3712270965735708
2017-10-08,8.338468216184129,8.7,27.27916666666667,29.4,84.375,93,14.666666666666666,19.5,-0.4131041289766665
2017-10-23,8.692687651082831,2.9,27.3875,29.2,85.25,93,13.404166666666669,19.6,-0.4310227874302118
2017-11-17,9.052354465646063,0.0,26.808333333333337,29.3,79.5,96,8.420833333333334,12.7,-0.3918116638015575
2017-12-07,7.881802372511921,1.1,25.754166666666663,28.4,86.70833333333333,95,8.229166666666666,13.0,-0.3504890256390005
2017-12-22,10.202282166021606,0.0,25.95416666666667,30.2,73.25,91,14.766666666666666,20.5,-0.4284547091611919
2017-12-27,9.381164672792671,1.0,26.254166666666663,29.5,77.45833333333333,91,15.85,22.7,-0.2623612759658786
2018-01-01,9.560334183726347,0.4,25.56666666666668,29.5,79.29166666666667,94,9.704166666666667,15.2,-0.4593454111530408
2018-02-05,9.91124223154512,1.1,27.09583333333333,33.6,69.91666666666667,84,14.791666666666666,18.4,-0.4290363951695443
2018-02-10,10.460755267385684,0.1,26.57083333333333,31.3,76.41666666666667,95,10.708333333333334,16.7,-0.4013959212204053
2018-02-15,9.1654438110105,0.7,27.96666666666667,33.3,69.95833333333333,91,15.866666666666667,21.3,-0.3253312260531203
2018-02-20,9.239054749730483,0.0,26.304166666666664,33.2,59.5,81,15.304166666666664,20.1,-0.4651743650757377
2018-03-07,8.3703732419436,0.0,26.77083333333333,30.6,70.875,84,12.216666666666669,17.9,-0.2889740721640526
2018-03-22,8.681406124893963,0.5,28.14583333333333,30.8,79.625,90,10.595833333333331,16.5,-0.2733493447818897
2018-03-27,8.830790268517827,1.3,27.26666666666667,30.8,82.66666666666667,94,7.229166666666667,15.4,-0.2798948899886296
2018-04-01,8.420242457068827,3.5,27.73333333333333,30.9,81.41666666666667,92,10.754166666666668,15.9,-0.252392994417098
2018-04-11,7.404431160935345,8.8,27.104166666666668,31.9,85.5,98,5.379166666666666,13.8,-0.3498529198707119
2018-05-11,9.66269044059388,12.9,27.3375,29.8,85.20833333333333,95,11.204166666666666,15.7,-0.3870539934283585
2018-07-05,8.376094273404949,4.0,27.3125,28.7,83.20833333333333,90,18.8125,24.5,-0.2902042830403166
2018-09-08,9.287708901808791,0.0,26.825,29.0,80.5,90,15.929166666666664,19.9,-0.3432691162601656
2018-09-13,9.786751000842042,0.3,27.412500000000005,29.8,77.95833333333333,87,14.866666666666667,19.1,-0.4037392808653458
2018-10-18,10.89280850758822,0.9,26.729166666666668,29.2,85.04166666666667,95,7.445833333333333,10.6,-0.3566430014099623
2018-11-17,14.14045770695562,2.4,26.133333333333336,29.3,87.29166666666667,96,6.383333333333333,12.3,-0.158417388595238
2018-11-22,11.92300653645355,1.6,26.54583333333333,29.7,83.54166666666667,94,5.400000000000001,9.7,-0.3631877326094985
2018-12-02,12.012617251455266,0.0,26.52500000000001,31.4,74.58333333333333,90,12.841666666666669,16.9,-0.4928730694622873
2018-12-17,9.226035923243142,0.0,25.125,29.3,79.83333333333333,95,7.233333333333334,11.9,-0.4673612427857107
2018-12-27,9.3937820854564,0.4,26.154166666666665,29.9,86.66666666666667,97,8.554166666666667,11.8,-0.3382166336535817
2019-01-01,8.426005265501491,0.0,25.579166666666666,29.3,73.75,86,17.229166666666668,22.4,-0.3008774311386039
2019-01-06,10.776312853663304,0.0,25.3125,29.8,68.79166666666667,90,14.85,19.9,-0.4451259980273458
2019-01-11,9.863145255961337,0.0,26.08333333333333,30.6,70.29166666666667,84,15.479166666666666,21.9,-0.4111504243212796
2019-01-26,10.4093704289309,0.3,27.64166666666667,33.2,73.75,92,13.125,17.4,-0.3982772834556045
2019-01-26,10.4093704289309,0.3,27.64166666666667,33.2,73.75,92,13.125,17.4,-0.3982772834556045
2019-01-31,9.6244507179484,0.0,27.5,33.1,65.41666666666667,89,18.525,24.6,-0.3609305732611435
2019-02-10,10.341250225305172,12.2,26.445833333333336,30.2,84.0,97,8.383333333333333,14.2,-0.3572921899984276
